"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Name.Basiswert.1","Name.Basiswert.2"
"Arbeitslose - Anteil","deutsch",2023,"02 Ludwigsvorstadt - Isarvorstadt",2.8,776.8,28055.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"03 Maxvorstadt",2.4,694.5,29325.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"04 Schwabing - West",2.2,803.3,35873,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"05 Au - Haidhausen",2.6,895,34259.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"06 Sendling",2.9,617.3,21116,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"07 Sendling - Westpark",2.7,752.8,27827.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"08 Schwanthalerhöhe",3.1,451,14491.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"09 Neuhausen - Nymphenburg",2.5,1241.3,49650.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"10 Moosach",3.1,727.8,23215.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"11 Milbertshofen - Am Hart",3.5,995.5,28222.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"12 Schwabing - Freimann",2.8,1001,35504.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"13 Bogenhausen",2.1,902,42057.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"14 Berg am Laim",3.5,698.3,19783.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"15 Trudering - Riem",2.5,898.5,36556.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"16 Ramersdorf - Perlach",3.5,1624.5,45890.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"17 Obergiesing - Fasangarten",2.7,678.5,25016.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"18 Untergiesing - Harlaching",2.7,710,26503.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",2.6,1130.3,43210.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"20 Hadern",2.5,535.8,21032.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"21 Pasing - Obermenzing",2.3,875.3,37303.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"22 Aubing - Lochhausen - Langwied",2.8,639,22553.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"23 Allach - Untermenzing",2.2,362.5,16374.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"24 Feldmoching - Hasenbergl",3,756.8,24939.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2023,"25 Laim",3.1,807,25833.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"Stadt München",2.6,18484.3,724417.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"01 Altstadt - Lehel",1.8,197,10885.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"02 Ludwigsvorstadt - Isarvorstadt",2.6,726,28025.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"03 Maxvorstadt",2.1,607.5,29238.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"04 Schwabing - West",1.9,700,35958,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"05 Au - Haidhausen",2.3,790.5,34072.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"06 Sendling",2.7,576.3,21279,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"07 Sendling - Westpark",2.6,705.3,27645,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"08 Schwanthalerhöhe",2.6,383.3,14467.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"09 Neuhausen - Nymphenburg",2.2,1104.5,49708.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"10 Moosach",2.9,670.5,23153.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"11 Milbertshofen - Am Hart",3.4,953,28322.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"12 Schwabing - Freimann",2.6,907.8,35596.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"13 Bogenhausen",2,846,42317.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"14 Berg am Laim",3.2,642.8,19809,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"15 Trudering - Riem",2.3,833.3,36521,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"16 Ramersdorf - Perlach",3.4,1544.8,45785.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"17 Obergiesing - Fasangarten",2.6,646.3,25093.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"18 Untergiesing - Harlaching",2.6,685.8,26469.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",2.4,1045,43151,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"20 Hadern",2.4,511.5,21054.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"21 Pasing - Obermenzing",2.3,837,36988.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"22 Aubing - Lochhausen - Langwied",2.7,576.5,21684,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"23 Allach - Untermenzing",2.2,357,16285.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"24 Feldmoching - Hasenbergl",3.1,769.8,24945.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2022,"25 Laim",2.7,706.8,25959.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"Stadt München",3,21915,726341.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"01 Altstadt - Lehel",2.2,246.3,10967.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"02 Ludwigsvorstadt - Isarvorstadt",3,855,28163.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"03 Maxvorstadt",2.4,707.8,29349.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"04 Schwabing - West",2.3,841.3,36174.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"05 Au - Haidhausen",2.6,895.8,33868.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"06 Sendling",3.2,677.8,21330.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"07 Sendling - Westpark",3.1,849.3,27667.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"08 Schwanthalerhöhe",3.4,499.3,14537.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"09 Neuhausen - Nymphenburg",2.6,1300.5,50049.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"10 Moosach",3.5,809,23408,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"11 Milbertshofen - Am Hart",3.9,1115.5,28545,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"12 Schwabing - Freimann",3,1091.5,36104.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"13 Bogenhausen",2.4,1031,42578.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"14 Berg am Laim",3.9,781.5,20005.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"15 Trudering - Riem",2.7,988.5,36444,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"16 Ramersdorf - Perlach",4,1823.3,45994.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"17 Obergiesing - Fasangarten",2.9,746.5,25319.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"18 Untergiesing - Harlaching",2.9,755.3,26423.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",3,1284,43344.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"20 Hadern",2.8,588.5,21109,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"21 Pasing - Obermenzing",2.7,1000.8,36696.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"22 Aubing - Lochhausen - Langwied",3.3,686.3,21108.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"23 Allach - Untermenzing",2.4,389.3,16030.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"24 Feldmoching - Hasenbergl",3.6,898.8,25008,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2021,"25 Laim",3.2,827,26113.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"Stadt München",3.1,22719.5,728059.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"01 Altstadt - Lehel",2.5,277,11033.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"02 Ludwigsvorstadt - Isarvorstadt",3.3,947,28295.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"03 Maxvorstadt",2.8,811,29489.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"04 Schwabing - West",2.6,935.5,36531.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"05 Au - Haidhausen",3.1,1037,33684.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"06 Sendling",3.5,755.3,21450,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"07 Sendling - Westpark",3.2,873.8,27706.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"08 Schwanthalerhöhe",3.4,495.3,14613.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"09 Neuhausen - Nymphenburg",2.8,1393.8,50512.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"10 Moosach",3.4,791.3,23540,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"11 Milbertshofen - Am Hart",3.7,1076.3,28992.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"12 Schwabing - Freimann",3,1107.5,36807.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"13 Bogenhausen",2.6,1106,42321,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"14 Berg am Laim",3.9,782.3,20254.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"15 Trudering - Riem",2.8,997,35867,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"16 Ramersdorf - Perlach",4,1855.3,46279.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"17 Obergiesing - Fasangarten",3.1,794.5,25596.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"18 Untergiesing - Harlaching",3,806.3,26473.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",3,1297.3,43063,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"20 Hadern",2.8,599.8,21318.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"21 Pasing - Obermenzing",2.8,1013.5,36309,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"22 Aubing - Lochhausen - Langwied",3.2,650,20577,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"23 Allach - Untermenzing",2.3,371.5,15838,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"24 Feldmoching - Hasenbergl",3.6,892.5,25030.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2020,"25 Laim",3.2,835.3,26477.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2019,"Stadt München",2.3,16772.5,725699,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2019,"01 Altstadt - Lehel",1.9,205,10957.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2019,"02 Ludwigsvorstadt - Isarvorstadt",2.3,651.3,28287.5,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2019,"03 Maxvorstadt",2,603.8,29517,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2019,"04 Schwabing - West",1.9,705.3,36533.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2019,"05 Au - Haidhausen",2,682.3,33457.3,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2019,"06 Sendling",2.5,541.8,21550.8,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
"Arbeitslose - Anteil","deutsch",2019,"07 Sendling - Westpark",2.3,630.8,27600,"Arbeitslose (deutsch)","Hauptwohnsitzbevölkerung (15 bis 64 Jahre) (deutsch)"
